"STATISTIC","Statistic Label","TLIST(A1)","Year","C01912V02351","Type of Dwelling","C02196V04140","Region and County","UNIT","VALUE"
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE04128","Leitrim","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE04131","Sligo","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE04132","Cavan","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE04133","Donegal","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE04134","Monaghan","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE042","West","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE04225","Galway","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE04226","Galway City","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE04229","Mayo","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE04230","Roscommon","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05","Southern","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE051","Mid-West","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05116","Clare","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05118","Limerick","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05122","Tipperary","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE052","South-East","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05201","Carlow","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05207","Kilkenny","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05214","Wexford","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05225","Waterford","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE053","South-West","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05316","Cork","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05317","Cork City","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE05319","Kerry","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06","Eastern and Midland","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE061","Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06102","Dublin City","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06103","South Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06104","Fingal","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06105","Dun Laoghaire - Rathdown","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE062","Mid-East","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06206","Kildare","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06210","Louth","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06211","Meath","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06215","Wicklow","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE063","Midland","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06308","Laois","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06309","Longford","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06312","Offaly","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","105","Multi development houses","IE06313","Westmeath","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","-","State","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE04","Northern and Western","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE041","Border","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE04128","Leitrim","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE04131","Sligo","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE04132","Cavan","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE04133","Donegal","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE04134","Monaghan","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE042","West","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE04225","Galway","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE04226","Galway City","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE04229","Mayo","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE04230","Roscommon","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05","Southern","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE051","Mid-West","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05116","Clare","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05118","Limerick","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05122","Tipperary","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE052","South-East","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05201","Carlow","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05207","Kilkenny","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05214","Wexford","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05225","Waterford","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE053","South-West","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05316","Cork","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05317","Cork City","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE05319","Kerry","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06","Eastern and Midland","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE061","Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06102","Dublin City","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06103","South Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06104","Fingal","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06105","Dun Laoghaire - Rathdown","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE062","Mid-East","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06206","Kildare","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06210","Louth","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06211","Meath","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06215","Wicklow","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE063","Midland","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06308","Laois","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06309","Longford","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06312","Offaly","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","101","One off houses","IE06313","Westmeath","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","-","State","Number","785"
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE04","Northern and Western","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE041","Border","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE04128","Leitrim","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE04131","Sligo","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE04132","Cavan","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE04133","Donegal","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE04134","Monaghan","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE042","West","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE04225","Galway","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE04226","Galway City","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE04229","Mayo","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE04230","Roscommon","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05","Southern","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE051","Mid-West","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05116","Clare","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05118","Limerick","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05122","Tipperary","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE052","South-East","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05201","Carlow","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05207","Kilkenny","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05214","Wexford","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05225","Waterford","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE053","South-West","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05316","Cork","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05317","Cork City","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE05319","Kerry","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06","Eastern and Midland","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE061","Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06102","Dublin City","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06103","South Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06104","Fingal","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06105","Dun Laoghaire - Rathdown","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE062","Mid-East","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06206","Kildare","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06210","Louth","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06211","Meath","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06215","Wicklow","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE063","Midland","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06308","Laois","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06309","Longford","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06312","Offaly","Number",""
"BHA12C02","Units for which Permission Granted","2014","2014","102","Private flats/apartments","IE06313","Westmeath","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","-","State","Number","10250"
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE04","Northern and Western","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE041","Border","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE04128","Leitrim","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE04131","Sligo","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE04132","Cavan","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE04133","Donegal","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE04134","Monaghan","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE042","West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE04225","Galway","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE04226","Galway City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE04229","Mayo","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE04230","Roscommon","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05","Southern","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE051","Mid-West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05116","Clare","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05118","Limerick","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05122","Tipperary","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE052","South-East","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05201","Carlow","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05207","Kilkenny","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05214","Wexford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05225","Waterford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE053","South-West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05316","Cork","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05317","Cork City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE05319","Kerry","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06","Eastern and Midland","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE061","Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06102","Dublin City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06103","South Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06104","Fingal","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06105","Dun Laoghaire - Rathdown","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE062","Mid-East","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06206","Kildare","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06210","Louth","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06211","Meath","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06215","Wicklow","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE063","Midland","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06308","Laois","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06309","Longford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06312","Offaly","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","11","Houses","IE06313","Westmeath","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","-","State","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE04","Northern and Western","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE041","Border","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE04128","Leitrim","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE04131","Sligo","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE04132","Cavan","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE04133","Donegal","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE04134","Monaghan","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE042","West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE04225","Galway","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE04226","Galway City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE04229","Mayo","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE04230","Roscommon","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05","Southern","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE051","Mid-West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05116","Clare","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05118","Limerick","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05122","Tipperary","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE052","South-East","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05201","Carlow","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05207","Kilkenny","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05214","Wexford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05225","Waterford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE053","South-West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05316","Cork","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05317","Cork City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE05319","Kerry","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06","Eastern and Midland","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE061","Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06102","Dublin City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06103","South Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06104","Fingal","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06105","Dun Laoghaire - Rathdown","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE062","Mid-East","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06206","Kildare","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06210","Louth","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06211","Meath","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06215","Wicklow","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE063","Midland","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06308","Laois","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06309","Longford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06312","Offaly","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","105","Multi development houses","IE06313","Westmeath","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","-","State","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE04","Northern and Western","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE041","Border","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE04128","Leitrim","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE04131","Sligo","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE04132","Cavan","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE04133","Donegal","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE04134","Monaghan","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE042","West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE04225","Galway","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE04226","Galway City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE04229","Mayo","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE04230","Roscommon","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05","Southern","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE051","Mid-West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05116","Clare","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05118","Limerick","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05122","Tipperary","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE052","South-East","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05201","Carlow","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05207","Kilkenny","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05214","Wexford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05225","Waterford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE053","South-West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05316","Cork","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05317","Cork City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE05319","Kerry","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06","Eastern and Midland","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE061","Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06102","Dublin City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06103","South Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06104","Fingal","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06105","Dun Laoghaire - Rathdown","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE062","Mid-East","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06206","Kildare","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06210","Louth","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06211","Meath","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06215","Wicklow","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE063","Midland","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06308","Laois","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06309","Longford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06312","Offaly","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","101","One off houses","IE06313","Westmeath","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","-","State","Number","2794"
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE04","Northern and Western","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE041","Border","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE04128","Leitrim","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE04131","Sligo","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE04132","Cavan","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE04133","Donegal","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE04134","Monaghan","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE042","West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE04225","Galway","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE04226","Galway City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE04229","Mayo","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE04230","Roscommon","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05","Southern","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE051","Mid-West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05116","Clare","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05118","Limerick","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05122","Tipperary","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE052","South-East","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05201","Carlow","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05207","Kilkenny","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05214","Wexford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05225","Waterford","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE053","South-West","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05316","Cork","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05317","Cork City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE05319","Kerry","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE06","Eastern and Midland","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE061","Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE06102","Dublin City","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE06103","South Dublin","Number",""
"BHA12C02","Units for which Permission Granted","2015","2015","102","Private flats/apartments","IE06104","Fingal","Number",""
